len_chars,len_words,ratio_alpha,ratio_digits,ratio_rare_symbols,ratio_non_printable,line_breaks,one_letter_words,weird_alnum_tokens,repeated_char_tokens,near_empty_lines,symbol_only_lines,legal_terms_count,normal_word_ratio,important_data_count,ocr_quality_score,ocr_estado
5877.0,987.0,0.7165220350518973,0.06789178152118427,0.004594180704441042,0.0,97.0,83.0,11.0,0.0,5.0,2.0,40.0,0.795339412360689,40.0,0.9239499763608156,legible
1583.0,294.0,0.706253948199621,0.06127605811749842,0.0012634238787113076,0.0,38.0,57.0,2.0,0.0,1.0,0.0,15.0,0.6938775510204082,14.0,0.7980646347060099,legible
4087.0,693.0,0.7105456324932713,0.06386102275507707,0.003914851969659897,0.0,129.0,76.0,6.0,0.0,7.0,1.0,34.0,0.7777777777777778,27.0,0.920146998888572,legible
3673.0,619.0,0.7141301388510755,0.069697794718214,0.002722570106180234,0.0,89.0,60.0,7.0,0.0,1.0,0.0,27.0,0.7851373182552503,22.0,0.9297892658165268,legible
1940.0,322.0,0.6927835051546392,0.10206185567010309,0.0010309278350515464,0.0,53.0,31.0,1.0,0.0,0.0,0.0,19.0,0.7732919254658385,17.0,0.8967260077902658,legible
2850.0,498.0,0.7371929824561404,0.0456140350877193,0.0014035087719298245,0.0,86.0,47.0,2.0,0.0,7.0,1.0,20.0,0.821285140562249,18.0,0.9402745355286845,legible
1925.0,340.0,0.6971428571428572,0.06805194805194806,0.004155844155844156,0.0,95.0,41.0,0.0,0.0,17.0,2.0,17.0,0.7647058823529411,16.0,0.8763313467392839,legible
1865.0,331.0,0.692225201072386,0.0777479892761394,0.0016085790884718498,0.0,78.0,37.0,1.0,0.0,8.0,0.0,16.0,0.7522658610271903,17.0,0.8811774888534206,legible
3085.0,555.0,0.7043760129659643,0.05964343598055105,0.002593192868719611,0.0,74.0,46.0,1.0,0.0,3.0,0.0,27.0,0.7891891891891892,27.0,0.9488988348153663,legible
4961.0,839.0,0.7536786938117315,0.041120741785930254,0.00463616206409998,0.0,116.0,82.0,8.0,0.0,2.0,0.0,36.0,0.8247914183551848,22.0,0.9257968254891129,legible
4670.0,803.0,0.7477516059957173,0.041541755888650965,0.0014989293361884369,0.0,151.0,89.0,7.0,0.0,9.0,0.0,37.0,0.8032378580323786,24.0,0.929815053826523,legible
3886.0,707.0,0.6819351518270715,0.08080288214101904,0.0028306742151312406,0.0,164.0,87.0,4.0,0.0,10.0,0.0,40.0,0.7468175388967468,26.0,0.9164516177165799,legible
3213.0,523.0,0.6834733893557423,0.08496732026143791,0.005291005291005291,0.0,104.0,71.0,4.0,0.0,10.0,3.0,20.0,0.7265774378585086,20.0,0.8868330590599448,legible
3806.0,655.0,0.708617971623752,0.06936416184971098,0.005517603783499738,0.0,90.0,61.0,6.0,0.0,7.0,1.0,37.0,0.7893129770992366,25.0,0.9222477604247228,legible
4255.0,700.0,0.727144535840188,0.059224441833137485,0.005875440658049354,0.0,77.0,69.0,5.0,0.0,1.0,0.0,34.0,0.8071428571428572,25.0,0.9245946491522578,legible
3323.0,565.0,0.7120072223894072,0.07222389407162202,0.0024074631357207344,0.0,74.0,52.0,4.0,0.0,3.0,0.0,29.0,0.7805309734513274,19.0,0.9383988399436483,legible
4004.0,668.0,0.7207792207792207,0.06468531468531469,0.005244755244755245,0.0,80.0,69.0,6.0,0.0,5.0,4.0,31.0,0.8008982035928144,27.0,0.905592810106283,legible
3552.0,591.0,0.7207207207207207,0.061936936936936936,0.00365990990990991,0.0,106.0,48.0,5.0,0.0,4.0,1.0,32.0,0.8138747884940778,24.0,0.9351720715405024,legible
4003.0,660.0,0.7177117162128404,0.06145390956782413,0.003997002248313765,0.0,123.0,62.0,6.0,0.0,9.0,5.0,32.0,0.8121212121212121,25.0,0.9168526165859475,legible
4407.0,728.0,0.7390515089630134,0.04992058089403222,0.005218969820739733,0.0,72.0,79.0,3.0,0.0,2.0,0.0,39.0,0.8090659340659341,29.0,0.925397369039515,legible
1484.0,259.0,0.7008086253369272,0.07142857142857142,0.0020215633423180594,0.0,70.0,30.0,0.0,0.0,5.0,0.0,9.0,0.7567567567567568,12.0,0.7869671888175678,legible
1410.0,252.0,0.6843971631205674,0.08226950354609928,0.0014184397163120568,0.0,69.0,35.0,2.0,0.0,6.0,2.0,13.0,0.7301587301587301,11.0,0.7955328519969865,legible
1655.0,293.0,0.7093655589123867,0.07250755287009064,0.0012084592145015106,0.0,49.0,32.0,1.0,0.0,1.0,0.0,13.0,0.7781569965870307,13.0,0.8622565663239208,legible
10926.0,1826.0,0.6955885044847153,0.07285374336445177,0.0043016657514186344,0.0,358.0,220.0,16.0,1.0,14.0,6.0,67.0,0.7447973713033954,81.0,0.9028725978291069,legible
3233.0,523.0,0.7005876894525209,0.08103928240024745,0.005258274048871018,0.0,90.0,48.0,2.0,0.0,3.0,0.0,28.0,0.8030592734225621,31.0,0.9339311971015914,legible
3935.0,648.0,0.7222363405336721,0.05972045743329098,0.002287166454891995,0.0,107.0,60.0,9.0,0.0,1.0,1.0,33.0,0.8009259259259259,30.0,0.9270049325850627,legible
5063.0,817.0,0.7292119296859569,0.07623938376456646,0.00019751135690302193,0.0,112.0,67.0,1.0,0.0,2.0,0.0,48.0,0.8212974296205631,52.0,0.9572942050119533,legible
5194.0,957.0,0.6929149018097805,0.06873315363881402,0.004620716211012707,0.0,195.0,116.0,8.0,0.0,5.0,2.0,43.0,0.7628004179728317,40.0,0.9086890773798925,legible
3459.0,563.0,0.762648164209309,0.032090199479618386,0.003469210754553339,0.0,87.0,59.0,2.0,1.0,2.0,0.0,22.0,0.8312611012433393,14.0,0.930891072636215,legible
4402.0,731.0,0.738982280781463,0.04725124943207633,0.0027260336210813267,0.0,134.0,69.0,5.0,0.0,5.0,1.0,33.0,0.8317373461012312,26.0,0.9341212053565724,legible
2707.0,474.0,0.6834133727373476,0.0768378278537126,0.005171776874769117,0.0,77.0,42.0,5.0,1.0,9.0,4.0,27.0,0.759493670886076,24.0,0.903437330119959,legible
3619.0,592.0,0.7311411992263056,0.060513954130975406,0.0033158331030671458,0.0,88.0,60.0,1.0,0.0,7.0,2.0,47.0,0.7905405405405406,31.0,0.9302945839856026,legible
3247.0,525.0,0.7212811826301201,0.06467508469356328,0.003079765937788728,0.0,123.0,45.0,4.0,0.0,7.0,2.0,27.0,0.8057142857142857,23.0,0.9335039845358849,legible
3240.0,531.0,0.7089506172839506,0.07067901234567901,0.004629629629629629,0.0,127.0,45.0,4.0,0.0,7.0,5.0,30.0,0.7928436911487758,26.0,0.9218335589296923,legible
4044.0,759.0,0.6718595450049456,0.06948565776458951,0.0051928783382789315,0.0,160.0,97.0,8.0,0.0,6.0,1.0,17.0,0.7272727272727273,18.0,0.8929620722513004,legible
1723.0,301.0,0.6918165989553106,0.09170052234474753,0.004062681369704005,0.0,43.0,37.0,5.0,0.0,0.0,0.0,27.0,0.7408637873754153,22.0,0.8321931081189006,legible
1960.0,333.0,0.7071428571428572,0.075,0.004081632653061225,0.0,63.0,34.0,7.0,0.0,2.0,0.0,24.0,0.7627627627627628,21.0,0.8667408806529615,legible
1560.0,262.0,0.7205128205128205,0.058333333333333334,0.009615384615384616,0.0,47.0,41.0,7.0,1.0,4.0,4.0,17.0,0.7519083969465649,13.0,0.7414774440787297,legible
2970.0,513.0,0.7272727272727273,0.051515151515151514,0.003367003367003367,0.0,100.0,57.0,2.0,0.0,6.0,0.0,40.0,0.8011695906432749,29.0,0.9299902534113059,legible
2381.0,388.0,0.7055858882822343,0.06593868122637547,0.00503989920201596,0.0,85.0,38.0,3.0,0.0,6.0,3.0,23.0,0.8195876288659794,22.0,0.9073536058637317,legible
3259.0,543.0,0.7241485118134398,0.06535747161706044,0.001841055538508745,0.0,98.0,51.0,1.0,1.0,3.0,0.0,36.0,0.7955801104972375,35.0,0.9432291495374474,legible
4002.0,670.0,0.7418790604697652,0.049225387306346825,0.0009995002498750624,0.0,108.0,63.0,2.0,0.0,5.0,1.0,42.0,0.817910447761194,34.0,0.9437101828381987,legible
4157.0,705.0,0.7298532595621843,0.057012268462833776,0.002646139042578783,0.0,129.0,54.0,6.0,1.0,8.0,6.0,51.0,0.8226950354609929,39.0,0.9264455112292597,legible
3653.0,608.0,0.7314535997810019,0.05748699698877635,0.0024637284423761293,0.0,102.0,59.0,1.0,0.0,3.0,1.0,34.0,0.8042763157894737,32.0,0.939273436650877,legible
5100.0,869.0,0.7605882352941177,0.03431372549019608,0.0029411764705882353,0.0,121.0,85.0,2.0,0.0,4.0,1.0,53.0,0.8262370540851554,34.0,0.9371322003588735,legible
3615.0,612.0,0.7551867219917012,0.04204702627939143,0.0016597510373443983,0.0,68.0,63.0,2.0,1.0,1.0,1.0,35.0,0.8137254901960784,35.0,0.9330397816712829,legible
2735.0,483.0,0.716636197440585,0.04606946983546618,0.005850091407678245,0.0,141.0,51.0,3.0,0.0,9.0,1.0,21.0,0.8053830227743272,21.0,0.9200261136807331,legible
1201.0,201.0,0.7327227310574521,0.04746044962531224,0.002497918401332223,0.0,45.0,22.0,0.0,0.0,0.0,0.0,10.0,0.7910447761194029,9.0,0.7713032604679944,legible
3617.0,607.0,0.7470279236936688,0.042853193254077965,0.002211777716339508,0.0,95.0,53.0,2.0,1.0,4.0,0.0,35.0,0.8336079077429983,29.0,0.9438365552746297,legible
6729.0,1078.0,0.7375538713033141,0.05275672462475851,0.004012483281319661,0.0,125.0,98.0,9.0,0.0,3.0,2.0,52.0,0.8042671614100185,42.0,0.9272925101828514,legible
3304.0,547.0,0.7433414043583535,0.051452784503631964,0.00211864406779661,0.0,78.0,47.0,1.0,2.0,2.0,0.0,30.0,0.829981718464351,23.0,0.9439704435596318,legible
2914.0,499.0,0.733013040494166,0.05765271105010295,0.0017158544955387784,0.0,67.0,49.0,1.0,0.0,1.0,0.0,34.0,0.8136272545090181,27.0,0.9437223658022977,legible
4834.0,783.0,0.7476210177906496,0.04137360364087712,0.0022755482002482417,0.0,123.0,84.0,2.0,3.0,5.0,1.0,58.0,0.8263090676883781,32.0,0.9291333372912085,legible
5074.0,878.0,0.7234923137564052,0.03310997240835633,0.005912495072920773,0.0,184.0,124.0,8.0,5.0,14.0,8.0,24.0,0.7824601366742597,22.0,0.8791428376011147,legible
9085.0,1518.0,0.7144744083654375,0.07000550357732527,0.0037424325811777656,0.0,300.0,171.0,10.0,6.0,17.0,8.0,95.0,0.7648221343873518,60.0,0.907587865951689,legible
4451.0,756.0,0.7263536283981128,0.032127611772635366,0.0053920467310716695,0.0,150.0,97.0,9.0,6.0,15.0,8.0,23.0,0.7936507936507936,20.0,0.8774853768346608,legible
2680.0,421.0,0.7048507462686567,0.08246268656716418,0.0033582089552238806,0.0,76.0,49.0,4.0,0.0,2.0,1.0,39.0,0.8004750593824228,31.0,0.9161851573064436,legible
4049.0,700.0,0.6865892813040256,0.08742899481353421,0.0012348728081007657,0.0,186.0,80.0,5.0,4.0,6.0,0.0,35.0,0.7557142857142857,34.0,0.9181363385626738,legible
4219.0,710.0,0.7271865370940981,0.05854467883384688,0.005688551789523584,0.0,81.0,69.0,4.0,0.0,3.0,0.0,46.0,0.8,35.0,0.9277146660479586,legible
3210.0,547.0,0.6915887850467289,0.08068535825545171,0.0065420560747663555,0.0,81.0,47.0,6.0,0.0,3.0,0.0,31.0,0.7641681901279708,31.0,0.920728037602183,legible
3166.0,549.0,0.6756159191408717,0.08370183196462413,0.011054958938723942,0.0,147.0,55.0,6.0,0.0,6.0,1.0,25.0,0.7577413479052824,29.0,0.8955392254142748,legible
4307.0,684.0,0.6972370559554214,0.07244021360575807,0.008358486185279778,0.0,201.0,64.0,9.0,0.0,16.0,5.0,25.0,0.7763157894736842,31.0,0.9031800389702668,legible
3111.0,501.0,0.6946319511411122,0.0703953712632594,0.006428801028608165,0.0,170.0,52.0,9.0,0.0,13.0,5.0,21.0,0.7485029940119761,20.0,0.8907739381435884,legible
2909.0,478.0,0.696459264352011,0.0800962530079065,0.009281540048126504,0.0,89.0,55.0,9.0,0.0,7.0,0.0,21.0,0.7301255230125523,22.0,0.8814044278521039,legible
4004.0,667.0,0.6995504495504495,0.07092907092907093,0.00949050949050949,0.0,126.0,56.0,8.0,1.0,6.0,2.0,37.0,0.7931034482758621,43.0,0.9077135488023055,legible
3288.0,534.0,0.7153284671532847,0.07086374695863747,0.008819951338199513,0.0,97.0,46.0,6.0,0.0,4.0,3.0,21.0,0.7846441947565543,22.0,0.9066726625653951,legible
3292.0,545.0,0.6646415552855407,0.10571081409477522,0.010024301336573511,0.0,105.0,57.0,9.0,2.0,7.0,2.0,28.0,0.7394495412844037,30.0,0.8745012343332822,legible
2029.0,347.0,0.728437654016757,0.0527353376047314,0.003942828979793002,0.0,68.0,34.0,2.0,1.0,2.0,1.0,21.0,0.8184438040345822,23.0,0.8915723662513414,legible
2467.0,413.0,0.7369274422375355,0.06728820429671666,0.0024321037697608433,0.0,61.0,34.0,2.0,0.0,0.0,0.0,22.0,0.8087167070217918,23.0,0.9436520873739266,legible
2525.0,420.0,0.7188118811881188,0.07564356435643564,0.0035643564356435645,0.0,95.0,38.0,3.0,0.0,8.0,3.0,23.0,0.8071428571428572,22.0,0.9252803217821781,legible
4423.0,762.0,0.6900293918155098,0.07981008365362875,0.009043635541487679,0.0,100.0,87.0,12.0,1.0,7.0,5.0,35.0,0.7296587926509186,35.0,0.8683636217337631,legible
3415.0,571.0,0.7083455344070279,0.06237188872620791,0.007613469985358712,0.0,88.0,44.0,5.0,0.0,5.0,3.0,24.0,0.7968476357267951,25.0,0.9168657978937507,legible
3232.0,522.0,0.7051361386138614,0.0708539603960396,0.009282178217821782,0.0,85.0,46.0,5.0,0.0,8.0,2.0,18.0,0.7777777777777778,22.0,0.9083068169941956,legible
3159.0,523.0,0.7116176005064894,0.06774295663184553,0.004431782209559987,0.0,106.0,56.0,4.0,0.0,7.0,1.0,42.0,0.7992351816443595,25.0,0.9210432074696074,legible
2651.0,441.0,0.6842700867597133,0.0878913617502829,0.008298755186721992,0.0,101.0,45.0,2.0,0.0,12.0,5.0,16.0,0.7278911564625851,18.0,0.8917435066355079,legible
2452.0,413.0,0.6757748776508973,0.08034257748776509,0.006117455138662317,0.0,102.0,57.0,2.0,3.0,13.0,5.0,23.0,0.7506053268765133,14.0,0.8715641999262568,legible
3336.0,576.0,0.7640887290167866,0.025179856115107913,0.0017985611510791368,0.0,107.0,36.0,4.0,0.0,5.0,0.0,16.0,0.8819444444444444,13.0,0.9550281025179855,legible
1911.0,335.0,0.6771323914181057,0.07796964939822083,0.00837257980115123,0.0,114.0,51.0,0.0,0.0,36.0,5.0,24.0,0.7223880597014926,22.0,0.8304485305668067,legible
1631.0,278.0,0.7032495401594114,0.0815450643776824,0.0006131207847946045,0.0,49.0,24.0,3.0,0.0,1.0,1.0,16.0,0.802158273381295,15.0,0.853835066608046,legible
4996.0,819.0,0.7309847878302642,0.051641313050440354,0.0024019215372297837,0.0,166.0,91.0,7.0,1.0,3.0,0.0,31.0,0.8034188034188035,29.0,0.9255455426612351,legible
2000.0,344.0,0.7325,0.0525,0.007,0.0,74.0,32.0,1.0,1.0,4.0,0.0,11.0,0.813953488372093,13.0,0.8747055522757475,legible
3242.0,536.0,0.7075879086983343,0.081122763726095,0.004935225169648365,0.0,78.0,62.0,2.0,0.0,0.0,0.0,33.0,0.8003731343283582,28.0,0.9231959438618136,legible
5771.0,1090.0,0.6771789984404782,0.08109513082654653,0.0031190434933287127,0.0,128.0,226.0,5.0,0.0,4.0,3.0,20.0,0.6467889908256881,53.0,0.8505609012527139,legible
6133.0,1156.0,0.6771563671938692,0.08022175118212946,0.0037502038154247513,0.0,134.0,240.0,7.0,0.0,4.0,0.0,24.0,0.6496539792387543,53.0,0.8549627895712582,legible
4491.0,733.0,0.7160988643954576,0.057670897350256066,0.0035626809173903364,0.0,195.0,61.0,23.0,2.0,10.0,3.0,20.0,0.8321964529331515,16.0,0.9005463582205507,legible
6048.0,1053.0,0.708994708994709,0.06415343915343916,0.0026455026455026454,0.0,189.0,107.0,18.0,1.0,5.0,1.0,46.0,0.785375118708452,35.0,0.9175539596855385,legible
3960.0,628.0,0.7080808080808081,0.06363636363636363,0.005050505050505051,0.0,172.0,52.0,12.0,2.0,8.0,2.0,19.0,0.8057324840764332,12.0,0.9120696137026536,legible
5668.0,955.0,0.7106563161609033,0.05998588567395907,0.004234297812279464,0.0,166.0,76.0,22.0,2.0,4.0,1.0,29.0,0.8178010471204189,28.0,0.9145502797476943,legible
2236.0,370.0,0.6932021466905188,0.09704830053667263,0.0013416815742397137,0.0,56.0,33.0,1.0,0.0,0.0,0.0,28.0,0.7810810810810811,24.0,0.9304200671794227,legible
2027.0,323.0,0.7153428712382832,0.07005426739023186,0.008880118401578688,0.0,76.0,20.0,1.0,1.0,1.0,0.0,18.0,0.826625386996904,17.0,0.8940903868008293,legible
711.0,133.0,0.7440225035161744,0.03938115330520394,0.0,0.0,22.0,13.0,0.0,0.0,0.0,0.0,9.0,0.8120300751879699,7.0,0.710659620150376,legible
2708.0,444.0,0.6883308714918759,0.09194977843426884,0.006277695716395864,0.0,76.0,36.0,5.0,1.0,0.0,0.0,25.0,0.7635135135135135,20.0,0.9204507545029829,legible
1063.0,165.0,0.6613358419567262,0.13734713076199437,0.0028222013170272815,0.0,47.0,16.0,1.0,0.0,1.0,0.0,11.0,0.7575757575757576,16.0,0.7546906349175406,legible
1074.0,183.0,0.6852886405959032,0.09869646182495345,0.000931098696461825,0.0,44.0,24.0,2.0,0.0,3.0,0.0,8.0,0.7431693989071039,12.0,0.7027492698345035,legible
1395.0,245.0,0.717562724014337,0.05448028673835126,0.0014336917562724014,0.0,68.0,25.0,1.0,1.0,5.0,0.0,15.0,0.7918367346938775,13.0,0.8266985411206202,legible
1014.0,174.0,0.7366863905325444,0.03944773175542406,0.0019723865877712033,0.0,40.0,22.0,0.0,0.0,1.0,0.0,8.0,0.7988505747126436,6.0,0.7134872305870846,legible
1249.0,218.0,0.7181745396317054,0.05044035228182546,0.009607686148919135,0.0,37.0,41.0,0.0,0.0,1.0,0.0,8.0,0.7155963302752294,5.0,0.6669905873581968,legible
2137.0,360.0,0.7164248947122134,0.07346747777257838,0.0009358914365933552,0.0,59.0,25.0,2.0,0.0,4.0,1.0,13.0,0.8055555555555556,20.0,0.9255787792915301,legible
1931.0,317.0,0.7301916105644743,0.05748316934230968,0.0020714655618850335,0.0,63.0,40.0,3.0,0.0,2.0,0.0,16.0,0.7854889589905363,18.0,0.8714850947954309,legible
2541.0,442.0,0.7363242817788272,0.04210940574576938,0.0007870916961826052,0.0,72.0,44.0,1.0,0.0,0.0,0.0,35.0,0.8212669683257918,18.0,0.9455432557638439,legible
1381.0,261.0,0.6596669080376538,0.07096307023895727,0.003620564808110065,0.0,57.0,22.0,1.0,1.0,4.0,1.0,7.0,0.7586206896551724,9.0,0.7410590516034267,legible
4394.0,757.0,0.7093764223941739,0.06781975421028676,0.0031861629494765588,0.0,92.0,69.0,7.0,0.0,1.0,0.0,28.0,0.7965653896961691,36.0,0.9337997698915718,legible
5455.0,922.0,0.708890925756187,0.06471127406049496,0.01008249312557287,0.0,125.0,97.0,12.0,0.0,10.0,3.0,48.0,0.7819956616052061,37.0,0.8934600182579557,legible
3546.0,569.0,0.7103778905809363,0.08714043993231811,0.0036661026508742244,0.0,95.0,54.0,7.0,0.0,2.0,0.0,30.0,0.7644991212653779,27.0,0.9233938552046657,legible
4381.0,743.0,0.6888838164802557,0.08628167085140379,0.007076010043369094,0.0,100.0,77.0,8.0,0.0,2.0,0.0,23.0,0.7362045760430687,37.0,0.9047347384403933,legible
5041.0,867.0,0.7169212457845665,0.06288434834358263,0.0033723467565959135,0.0,100.0,90.0,5.0,0.0,0.0,0.0,44.0,0.7716262975778547,57.0,0.9294782950644751,legible
1524.0,268.0,0.6745406824146981,0.1089238845144357,0.0006561679790026247,0.0,64.0,22.0,1.0,0.0,9.0,1.0,18.0,0.75,19.0,0.8465165483037727,legible
1471.0,256.0,0.6798096532970768,0.10061182868796736,0.002719238613188307,0.0,54.0,19.0,0.0,0.0,4.0,1.0,19.0,0.765625,18.0,0.844941703407357,legible
3841.0,649.0,0.6925279875032544,0.08227024212444675,0.004946628482166103,0.0,97.0,64.0,7.0,0.0,0.0,1.0,25.0,0.7719568567026194,29.0,0.9178013768095854,legible
3770.0,616.0,0.6936339522546419,0.08514588859416446,0.00610079575596817,0.0,109.0,63.0,9.0,0.0,2.0,0.0,21.0,0.7451298701298701,21.0,0.9054941572028058,legible
3655.0,595.0,0.7302325581395349,0.059370725034199726,0.001094391244870041,0.0,153.0,51.0,7.0,0.0,7.0,0.0,20.0,0.8218487394957983,16.0,0.9397020715262848,legible
3950.0,720.0,0.7007594936708861,0.06683544303797469,0.0027848101265822785,0.0,126.0,158.0,4.0,1.0,3.0,1.0,35.0,0.6541666666666667,44.0,0.8556784893337565,legible
6355.0,1046.0,0.6693941778127459,0.09488591660110149,0.011014948859166011,0.0,295.0,97.0,15.0,0.0,24.0,13.0,33.0,0.751434034416826,48.0,0.8801850544123115,legible
2496.0,425.0,0.7239583333333334,0.054086538461538464,0.002003205128205128,0.0,107.0,36.0,1.0,0.0,2.0,0.0,9.0,0.7905882352941176,24.0,0.9013708310668929,legible
4651.0,830.0,0.6587830574070093,0.07611266394323801,0.014190496667383359,0.0,238.0,122.0,8.0,1.0,23.0,6.0,35.0,0.7120481927710843,29.0,0.844142823815365,legible
3878.0,700.0,0.6670964414646725,0.08457968024755029,0.0033522434244455906,0.0,205.0,95.0,9.0,0.0,14.0,2.0,35.0,0.7114285714285714,38.0,0.8861818382510084,legible
2983.0,514.0,0.7143814951391216,0.0643647334897754,0.0013409319477036541,0.0,121.0,54.0,8.0,0.0,35.0,2.0,26.0,0.7996108949416343,25.0,0.9192692533529339,legible
2823.0,478.0,0.7247608926673751,0.060928090683669854,0.0028338646829613886,0.0,90.0,34.0,4.0,0.0,0.0,0.0,26.0,0.8451882845188284,22.0,0.9458627057775564,legible
995.0,168.0,0.6773869346733669,0.09447236180904522,0.004020100502512563,0.0,35.0,22.0,2.0,0.0,2.0,0.0,9.0,0.6785714285714286,11.0,0.685884362262987,legible
2645.0,464.0,0.7145557655954632,0.05860113421550094,0.0026465028355387526,0.0,112.0,50.0,3.0,0.0,6.0,0.0,30.0,0.790948275862069,27.0,0.930652734094909,legible
4892.0,801.0,0.7095257563368765,0.05498773507767784,0.011651676206050695,0.0,108.0,69.0,8.0,2.0,2.0,1.0,25.0,0.8002496878901373,25.0,0.903430276391104,legible
4935.0,799.0,0.7426545086119554,0.053495440729483285,0.005065856129685917,0.0,105.0,78.0,9.0,0.0,3.0,1.0,31.0,0.8022528160200251,28.0,0.9193003749070884,legible
4013.0,651.0,0.7645153251931224,0.0398704211313232,0.00124595066035385,0.0,106.0,64.0,1.0,0.0,5.0,1.0,27.0,0.8187403993855606,18.0,0.9425823709738645,legible
2632.0,446.0,0.7203647416413373,0.05547112462006079,0.0056990881458966565,0.0,124.0,40.0,6.0,0.0,3.0,0.0,24.0,0.827354260089686,22.0,0.9217176574618015,legible
2736.0,466.0,0.741593567251462,0.04641812865497076,0.0021929824561403508,0.0,75.0,50.0,2.0,0.0,5.0,0.0,22.0,0.8068669527896996,17.0,0.9349434812890595,legible
4167.0,685.0,0.775377969762419,0.025437964962802977,0.001919846412287017,0.0,110.0,72.0,5.0,0.0,6.0,1.0,17.0,0.8437956204379562,11.0,0.9301574478342383,legible
3438.0,589.0,0.7108784176847004,0.058755090168702735,0.009598603839441536,0.0,87.0,62.0,7.0,0.0,3.0,0.0,16.0,0.7792869269949066,22.0,0.9040030465141773,legible
1799.0,322.0,0.67982212340189,0.08060033351862146,0.0022234574763757642,0.0,57.0,24.0,3.0,0.0,0.0,0.0,13.0,0.7639751552795031,19.0,0.884552508347747,legible
2368.0,411.0,0.6934121621621622,0.08614864864864864,0.003800675675675676,0.0,64.0,47.0,6.0,0.0,0.0,0.0,23.0,0.7615571776155717,25.0,0.9012570700122492,legible
2764.0,485.0,0.7257597684515196,0.04703328509406657,0.002532561505065123,0.0,98.0,61.0,1.0,0.0,11.0,2.0,26.0,0.7690721649484537,21.0,0.9185408165255967,legible
2546.0,424.0,0.7348782403770621,0.044383346425765906,0.0015710919088766694,0.0,75.0,43.0,1.0,0.0,2.0,0.0,21.0,0.8113207547169812,24.0,0.9421283432020631,legible
5113.0,826.0,0.7306864854292978,0.06238998630940739,0.005867396831605711,0.0,99.0,77.0,8.0,0.0,3.0,0.0,40.0,0.8026634382566586,39.0,0.9241215846328188,legible
2114.0,358.0,0.6721854304635762,0.036896877956480605,0.0033112582781456954,0.0,88.0,49.0,3.0,9.0,9.0,4.0,10.0,0.7849162011173184,6.0,0.8092563155507846,legible
3771.0,633.0,0.6876160169716256,0.08353221957040573,0.00954653937947494,0.0,91.0,64.0,8.0,1.0,5.0,2.0,33.0,0.7614533965244866,31.0,0.8923396762976943,legible
1527.0,258.0,0.7295350360183366,0.06352324819908317,0.0006548788474132286,0.0,45.0,21.0,2.0,0.0,3.0,0.0,17.0,0.8294573643410853,18.0,0.8518058106509844,legible
